car_id,description,amount,region,make,model,year_of_man,color,condition,mileage,engine_size,selling_cond,bought_cond,trim,drive_train,reg_city,seat,num_cylinder,horse_power,body_build,fuel_type,transmission
xnSDyr7DfAH8kxlTE7pUkc8U,Lexus ES 2005 Brown,3120000,"Abuja (FCT), Jabi",Lexus,ES,2005,Brown,Nigerian Used,193570.0,3300.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
uKabV1dKl1Er2KmavtL8GAyI,Mercedes-Benz GL-Class 2013 Black,13520000,"Lagos State, Ajah",Mercedes-Benz,GL-Class,2013,Black,Nigerian Used,174675.0,4700.0,Registered,Imported,unknown,unknown,Lagos,0,0.0,0.0,SUV,Petrol,Automatic
v9kdSHsm2bJCqbbhkDs9yXfv,Nissan Xterra 2008 Black,1155000,"Abuja (FCT), Jabi",Nissan,Xterra,2008,Black,Nigerian Used,133331.0,4000.0,Registered,Registered,unknown,unknown,Abuja,0,0.0,0.0,SUV,Petrol,Automatic
1vAhUmnd7BIiSPAn2OaeWN3I,New Ford Ranger 2022 White,21000000,"Lagos State, Alimosho",Ford,Ranger,2022,White,Brand New,1165.0,2700.0,Brand new,Brand new,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Manual
rq2qMPAsUMsGwzR8mB8ca8i9,Toyota Corolla 2010 Black,2100000,"Rivers State, Port-Harcourt",Toyota,Corolla,2010,Black,Nigerian Used,196309.0,1800.0,Registered,Registered,Base 4dr Sedan (1.8L 4cyl 5M),Front,Rivers,5,4.0,132.0,Sedan,Petrol,Automatic
zxnpO00Fggf6ZURTpUy5IJq6,Ford Edge 2007 Gray,2625000,"Lagos State, Ogba",Ford,Edge,2007,Gray,Nigerian Used,288805.0,3500.0,Registered,Imported,unknown,unknown,unknown,0,0.0,0.0,SUV,Petrol,Automatic
tH1CRV9PmsORdWIQtgvCdaz8,Toyota HiAce 2009 Black,13650000,"Abuja (FCT), Garki 2",Toyota,HiAce,2009,Black,Foreign Used,64447.0,2700.0,Imported,Imported,unknown,unknown,unknown,0,0.0,0.0,Bus,Petrol,Automatic
swAlhPesyQ1G77vSTQj2EJ7d,Kia Cerato 2009 White,1575000,"Abuja (FCT), Jabi",Kia,Cerato,2009,White,Nigerian Used,156541.0,1600.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Manual
d58QwKehodHAHu9KM6gaPbPt,Honda Pilot 2006 Gray,1732500,"Lagos State, Ikorodu",Honda,Pilot,2006,Gray,Nigerian Used,123528.0,3800.0,Registered,Registered,unknown,unknown,Lagos,0,0.0,0.0,unknown,Petrol,Automatic
cyM5wha9OnJNZjp3vGYbPctU,Jeep Compass 2011 Gray,3990000,"Rivers State, Port-Harcourt",Jeep,Compass,2011,Gray,Nigerian Used,188564.0,2400.0,Registered,Imported,unknown,unknown,Akwa-Ibom,0,0.0,0.0,SUV,Petrol,CVT
